Ticker,NumberShares,Direction,EntryDate,EntryPrice,ExpiryDate,ExitPrice,SpotPrice_Close,Strike,Premium,Outcome,OptionType,PnL_Option,PnL_Stock,PnL_Realized,PnL_Unrealized,PnL_Total,PnL_Percent,PnL_Option_Position,PnL_Stock_Position,PnL_Realized_Position,PnL_Unrealized_Position,PnL_Total_position,,Volatility,Vol_ZScore,MaxCorrelation,Sector
NWS,745.288938986619,short,2015-05-12,13.4176149368286,2015-06-11,12.7467341899872,12.6044263839722,12.7467341899872,0.150018328514042,Option Assigned,Put,0.150018328514042,0.670880746841432,0.820899075355474,0,0.820899075355474,8.20899075355474E-05,111.807000886776,500.000000000001,611.807000886777,0,611.807000886777,,0.272995523532156,2.33318693602933,,Communication Services
IP,310.004914781288,short,2015-05-12,32.2575531005859,2015-06-11,32.1463050842285,32.1463050842285,30.6446754455566,0.312982850627293,Put Expired,Put,0.312982850627293,0.111248016357415,0.312982850627293,0.111248016357415,0.424230866984708,4.24230866984708E-05,97.0262219367184,34.4874318304676,97.0262219367184,34.4874318304676,131.513653767186,,0.255302703557678,2.21124997126092,0.59150896985055,Consumer Cyclical
CNC,296.515951147441,short,2015-05-12,33.7249984741211,2015-06-11,37.8899993896484,37.8899993896484,32.038748550415,0.673523270373259,Put Expired,Put,0.673523270373259,-4.16500091552734,0.673523270373259,-4.16500091552734,-3.49147764515408,-0.000349147764515408,199.710393134662,-1234.98920799755,199.710393134662,-1234.98920799755,-1035.27881486289,,0.368131272421661,2.20953108277672,0.632571758522557,Healthcare
YUM,184.840503637912,long,2015-05-12,54.1006965637207,2015-06-11,54.6633071899414,54.6633071899414,56.8057313919067,0.769434387408575,Call Expired,Call,0.769434387408575,0.562610626220703,0.769434387408575,0.562610626220703,1.33204501362928,0.000133204501362928,142.222639684929,103.993231502676,142.222639684929,103.993231502676,246.215871187605,,0.2729418766855,2.17041128707504,0.847651576681082,Consumer Cyclical
WYNN,101.749905544893,short,2015-05-12,98.2801895141602,2015-06-11,93.3661800384521,91.5079956054688,93.3661800384521,4.50286173383047,Option Assigned,Put,4.50286173383047,4.91400947570801,9.41687120953849,0,9.41687120953849,0.000941687120953849,458.165756098965,500.000000000001,958.165756098965,0,958.165756098965,,0.646988271452636,2.16320411943859,0.410539710604421,Consumer Cyclical
IP,311.077742023489,short,2015-06-11,32.1463050842285,2015-07-13,30.5389898300171,29.8078117370605,30.5389898300171,0.208447648809063,Option Assigned,Put,0.208447648809063,1.60731525421143,1.81576290302049,0,1.81576290302049,0.000181576290302049,64.8434239216284,500.000000000001,564.843423921629,0,564.843423921629,,0.216192947317926,0.226089493557996,0.410539710604421,Consumer Cyclical
CNC,263.921883375169,long,2015-06-11,37.8899993896484,2015-07-13,36.5,36.5,39.7844993591309,0.458706323990478,Call Expired,Call,0.458706323990478,-1.38999938964844,0.458706323990478,-1.38999938964844,-0.931293065657959,-9.31293065657959E-05,121.062636943667,-366.85125680635,121.062636943667,-366.85125680635,-245.788619862683,,0.256403104505876,-0.502709864662112,0.847651576681082,Healthcare
YUM,182.938071515733,long,2015-06-11,54.6633071899414,2015-07-13,54.5316429138184,54.5316429138184,57.3964725494385,0.768834726936243,Call Expired,Call,0.768834726936243,-0.131664276123047,0.768834726936243,-0.131664276123047,0.637170450813196,6.37170450813196E-05,140.649142260042,-24.0864087614652,140.649142260042,-24.0864087614652,116.562733498576,,0.271497818186941,0.751160740531863,0.847651576681082,Consumer Cyclical
BAX,314.638188108253,long,2015-06-11,31.7825374603272,2015-07-13,32.2302665710449,32.2302665710449,33.3716643333435,0.171649387910052,Call Expired,Call,0.171649387910052,0.447729110717773,0.171649387910052,0.447729110717773,0.619378498627826,6.19378498627826E-05,54.0074524019094,140.87267615956,54.0074524019094,140.87267615956,194.880128561469,,0.180200104741709,3.86083630744145,0.48400191914124,Healthcare
CPAY,61.9693889978615,long,2015-06-11,161.369995117188,2015-07-13,156.490005493164,156.490005493164,169.438494873047,1.55007280018945,Call Expired,Call,1.55007280018945,-4.87998962402344,1.55007280018945,-4.87998962402344,-3.32991682383399,-0.000332991682383399,96.0570643299443,-302.409975316636,96.0570643299443,-302.409975316636,-206.352910986692,,0.227708996385063,3.35872664801811,0.751685078902174,Technology
CNC,273.972602739726,short,2015-07-13,36.5,2015-08-11,35.5250015258789,35.5250015258789,34.675,0.804140874649306,Put Expired,Put,0.804140874649306,0.974998474121094,0.804140874649306,0.974998474121094,1.7791393487704,0.00017791393487704,220.31256839707,267.122869622218,220.31256839707,267.122869622218,487.435438019288,,0.391021884146959,1.02418995959896,0.847651576681082,Healthcare
YUM,183.379767519639,short,2015-07-13,54.5316429138184,2015-08-11,51.8050607681274,50.2246551513672,51.8050607681274,0.34191403999121,Option Assigned,Put,0.34191403999121,2.72658214569092,3.06849618568213,0,3.06849618568213,0.000306849618568213,62.7001171652887,500,562.700117165289,0,562.700117165289,,0.211064716702936,-0.510761364067852,0.847651576681082,Consumer Cyclical
BAX,310.267368653532,long,2015-07-13,32.2302665710449,2015-08-11,33.8417798995972,35.7961883544922,33.8417798995972,0.280263989830226,Option Assigned,Call,0.280263989830226,1.61151332855225,1.89177731838247,0,1.89177731838247,0.000189177731838247,86.9567706529643,500.000000000001,586.956770652965,0,586.956770652965,,0.219509515246396,2.17095256667279,0.642122051509798,Healthcare
